transactionStatus,userID,dateAndTime,transactionID,transactionDesctiption,amount,merchantName,paymentMethod,locationOfSpending
"Income","C000001","2020-04-04T22:12","T000000","Misc.","78.0","Amazon Pop-Up","PAYMENT","Washington,Seattle"
"Income","C000005","2020-04-04T22:12","T000001","Misc.","63.33","Bespoke Events","PAYMENT","Ohio,Cleveland"
"Income","C000019","2019-11-12T22:17","T000002","Specialty Store","69.25","Bespoke Coworking","TRANSFER","Wisconsin,Madison"
"Income","C000007","2020-11-05T17:12","T000003","Misc.","30.25","Dyson","CASH_OUT","California,Los Angeles"
"Income","C000018","2019-11-12T22:17","T000004","Misc.","6.99","Penhaligon","PAYMENT","Illinois,Champaign"
"Expense","C000001","2019-12-19T22:12","T000005","Apparel And Accessories","97.5","SF Sports","PAYMENT","Ohio,Toledo"
"Expense","C000011","2020-11-22T15:12","T000006","Apparel And Accessories","2.5","Claire's Boutique","PAYMENT","Washington,Seattle"
"Expense","C000004","2020-01-11T20:12","T000007","Toy Stores","77.2","Go! Toys and Games","PAYMENT","Wisconsin,Milwaukee"
"Expense","C000012","2019-12-12T13:11","T000008","Department Stores","22.0","Nordstrom","PAYMENT","Kansas,Kansas City"
"Income","C000015","2020-09-17T14:12","T000009","Department Stores","97.33","Bloomingdale's","DEBIT","Illinois,Chicago"
"Income","C000018","2020-11-22T15:12","T000010","Apparel And Accessories","13.1","Victoria's Secret","DEBIT","Ohio,Columbus"
"Income","C000003","2020-01-08T22:13","T000011","Apparel And Accessories","62.99","Adidas","PAYMENT","Kansas,Kansas City"
"Expense","C000003","2019-09-13T22:12","T000012","Apparel And Accessories","64.99","Finish Line","PAYMENT","Wisconsin,Milwaukee"
"Expense","C000009","2020-07-25T21:12","T000013","Apparel And Accessories","29.1","Zara","PAYMENT","Wisconsin,Green Bay"
"Expense","C000012","2020-11-05T17:12","T000014","Apparel And Accessories","53.0","H&M","PAYMENT","Ohio,Toledo"
"Income","C000020","2019-11-11T11:14","T000015","Apparel And Accessories","36.5","H&M Man","CASH_OUT","California,Los Angeles"
"Income","C000006","2020-07-25T21:12","T000016","Casual Restaurants","18.2","Bristol Farms","PAYMENT","Washington,Redmond"
"Income","C000011","2019-09-13T22:12","T000017","Apparel And Accessories","49.25","Superdry ","PAYMENT","Washington,Seattle"
"Income","C000011","2019-11-12T22:17","T000018","Apparel And Accessories","75.0","Sunglass Hut ","PAYMENT","Wisconsin,Milwaukee"
"Income","C000019","2020-04-04T22:12","T000019","Apparel And Accessories","84.1","Express","TRANSFER","Washington,Seattle"
"Expense","C000013","2019-11-11T11:14","T000020","Apparel And Accessories","87.6","Michael Kors Men","PAYMENT","Wisconsin,Green Bay"
"Expense","C000005","2020-11-05T17:12","T000021","Apparel And Accessories","37.0","Solstice","DEBIT","Ohio,Toledo"
"Expense","C000019","2019-11-12T22:17","T000022","Apparel And Accessories","87.1","Abercrombie & Fitch","DEBIT","Washington,Seattle"
"Income","C000017","2020-07-25T21:12","T000023","Apparel And Accessories","64.33","Karen Millen","PAYMENT","Kansas,Kansas City"
"Income","C000004","2020-11-23T19:12","T000024","Apparel And Accessories","82.5","RED Valentino","TRANSFER","Kansas,Kansas City"
"Expense","C000020","2020-01-11T20:12","T000025","Apparel And Accessories","82.2","Brighton Collectibles","PAYMENT","Illinois,Chicago"
"Expense","C000017","2020-11-22T15:12","T000026","Apparel And Accessories","59.25","Club Monaco Men","PAYMENT","Ohio,Cleveland"
"Income","C000018","2019-12-19T22:12","T000027","Apparel And Accessories","57.0","J.Crew","PAYMENT","Kansas,Kansas City"
"Expense","C000004","2020-11-22T15:12","T000028","Apparel And Accessories","27.2","Max & Co.","PAYMENT","Wisconsin,Green Bay"
